epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07598,1.02436,2.92067,1.29217,0.79457,0.83333,0.88858,0.63619,1.44879,1.35958,1.28738,0,0,0
2,1.28914,1.27548,3.10545,1.61647,0.79044,0.75,0.87488,0.6237,1.45766,1.35376,1.28909,1.17822e-06,1.17822e-06,1.17822e-06
3,1.50587,1.27507,2.78772,1.53643,0.75177,0.75,0.87517,0.61368,1.4577,1.37668,1.28944,2.33288e-06,2.33288e-06,2.33288e-06
4,1.74218,1.10134,2.67287,1.31101,0.70209,0.75,0.87483,0.5992,1.49528,1.40749,1.30799,3.46397e-06,3.46397e-06,3.46397e-06
5,2.02019,1.13508,2.92976,1.52249,0.6413,0.75,0.87479,0.59657,1.53253,1.4619,1.3271,4.5715e-06,4.5715e-06,4.5715e-06
6,2.28818,1.14403,2.31492,1.37666,0.75222,0.75,0.88864,0.59062,1.54004,1.51126,1.3357,5.65548e-06,5.65548e-06,5.65548e-06
7,2.55448,1.53025,3.59291,1.8148,0.87188,0.58333,0.88867,0.58986,1.56245,1.59554,1.3629,6.71588e-06,6.71588e-06,6.71588e-06
8,3.3134,1.3672,3.36501,1.7838,0.86091,0.58333,0.83308,0.58181,1.56889,1.62577,1.36412,7.75273e-06,7.75273e-06,7.75273e-06
