epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,478.989,0.95397,1.46005,0.65786,1.03312,0,0.61911,0.64697,0.63632,0.36711,0.62721,0.6291,0.63229,0.39921,1.39072,1.45289,1.23205,1.18058,0,0.00081403,0.00081403,0.00081403
29,495.096,0.91145,1.43587,0.62907,1.01393,0,0.68538,0.63232,0.64429,0.38438,0.67051,0.61544,0.61957,0.41359,1.34119,1.356,1.11434,1.15988,0,0.000803031,0.000803031,0.000803031
30,511.335,0.91376,1.43864,0.62023,1.01451,0,0.66347,0.67333,0.66955,0.37075,0.65044,0.65895,0.66206,0.40762,1.42448,1.28458,1.02666,1.17002,0,0.000792032,0.000792032,0.000792032
31,527.569,0.87949,1.35979,0.59865,0.9942,0,0.70312,0.63213,0.6704,0.39845,0.70332,0.63361,0.66532,0.41923,1.27429,1.52257,1.15641,1.1426,0,0.000781033,0.000781033,0.000781033
32,543.843,0.89295,1.392,0.60341,1.0035,0,0.62314,0.67737,0.62303,0.381,0.6219,0.67592,0.62246,0.38857,1.19047,1.4781,0.93388,1.09674,0,0.000770034,0.000770034,0.000770034
33,560.021,0.85644,1.36968,0.57795,1.00531,0,0.56442,0.67713,0.61939,0.35514,0.56442,0.67713,0.61009,0.39193,1.34365,1.34227,1.09929,1.1532,0,0.000759035,0.000759035,0.000759035
34,576.134,0.88927,1.37335,0.60023,1.01079,0,0.62571,0.63444,0.65424,0.38234,0.62752,0.6369,0.65168,0.42449,1.26443,1.49492,1.0046,1.13015,0,0.000748036,0.000748036,0.000748036
35,592.373,0.87315,1.39131,0.60457,1.00657,0,0.66332,0.66595,0.65925,0.38911,0.66332,0.66595,0.65234,0.40846,1.27408,1.61005,0.97515,1.13389,0,0.000737037,0.000737037,0.000737037
36,608.708,0.89221,1.39211,0.61554,1.00597,0,0.62399,0.5804,0.60333,0.37434,0.64992,0.57008,0.59505,0.39182,1.14084,1.36992,1.30551,1.07657,0,0.000726038,0.000726038,0.000726038
37,624.898,0.85347,1.35096,0.59315,0.99261,0,0.68169,0.68947,0.69732,0.44076,0.66449,0.6726,0.65893,0.43138,1.06131,1.4869,0.96849,1.04836,0,0.00071504,0.00071504,0.00071504
38,641.112,0.85646,1.36527,0.54741,0.99509,0,0.61079,0.67786,0.661,0.39978,0.5928,0.65914,0.62058,0.4062,1.20939,1.27639,0.94802,1.09932,0,0.000704041,0.000704041,0.000704041
39,657.29,0.86208,1.32518,0.56022,0.99054,0,0.56173,0.67223,0.61907,0.36703,0.55659,0.66598,0.60329,0.41643,1.3443,1.25139,1.08148,1.15501,0,0.000693042,0.000693042,0.000693042
40,673.51,0.84258,1.32087,0.54838,0.98353,0,0.69086,0.61905,0.64367,0.38699,0.69086,0.61905,0.63661,0.40734,1.26744,1.18265,0.98403,1.13379,0,0.000682043,0.000682043,0.000682043
41,689.708,0.81957,1.29977,0.53655,0.98409,0,0.68368,0.65963,0.65923,0.38603,0.67026,0.65531,0.63551,0.41344,1.30391,1.4051,1.05794,1.13578,0,0.000671044,0.000671044,0.000671044
42,705.954,0.82425,1.25292,0.53412,0.98098,0,0.65265,0.63273,0.64866,0.40828,0.65311,0.63072,0.64227,0.42727,1.16143,1.39213,0.94512,1.07404,0,0.000660045,0.000660045,0.000660045
43,722.129,0.8476,1.30215,0.54897,0.97935,0,0.73396,0.63628,0.67517,0.39751,0.72025,0.62315,0.64423,0.42919,1.29099,1.29201,0.95754,1.14746,0,0.000649046,0.000649046,0.000649046
44,738.249,0.83627,1.30881,0.54332,0.98496,0,0.68514,0.62597,0.66883,0.41264,0.67262,0.62209,0.65949,0.43759,1.2393,1.36122,0.95407,1.10912,0,0.000638047,0.000638047,0.000638047
45,754.41,0.80695,1.27819,0.52015,0.97048,0,0.65485,0.62766,0.65447,0.39842,0.65656,0.62915,0.6572,0.43177,1.33398,1.32748,0.92539,1.17089,0,0.000627048,0.000627048,0.000627048
46,770.594,0.82635,1.23561,0.52078,0.97586,0,0.59404,0.69941,0.66955,0.41847,0.58169,0.68306,0.64813,0.43201,1.14156,1.22922,0.93068,1.06462,0,0.000616049,0.000616049,0.000616049
47,786.786,0.80614,1.2639,0.5179,0.96977,0,0.67488,0.60217,0.6505,0.38885,0.67488,0.60217,0.62678,0.41384,1.31408,1.60293,1.11691,1.15439,0,0.000605051,0.000605051,0.000605051
48,803.04,0.82373,1.26644,0.51145,0.95723,0,0.60219,0.6858,0.64517,0.40282,0.58902,0.67042,0.62363,0.41023,1.11171,1.38792,1.01574,1.0541,0,0.000594052,0.000594052,0.000594052
49,819.44,0.79208,1.26135,0.50144,0.95551,0,0.65728,0.68739,0.66643,0.38617,0.65011,0.68084,0.64999,0.41957,1.31075,1.43392,1.12881,1.14562,0,0.000583053,0.000583053,0.000583053
50,835.756,0.80429,1.22933,0.49386,0.96401,0,0.65539,0.66934,0.64805,0.37889,0.67156,0.68033,0.65398,0.41156,1.37111,1.29598,1.1344,1.16906,0,0.000572054,0.000572054,0.000572054
51,852.053,0.78328,1.21167,0.48742,0.95562,0,0.66785,0.69956,0.67501,0.38514,0.6849,0.68175,0.67228,0.43434,1.41538,1.28471,0.97133,1.20352,0,0.000561055,0.000561055,0.000561055
52,868.371,0.77928,1.25228,0.48706,0.96173,0,0.72129,0.60669,0.64681,0.39952,0.66792,0.64675,0.65484,0.4239,1.24062,1.20926,1.06516,1.11655,0,0.000550056,0.000550056,0.000550056
53,884.691,0.78112,1.22558,0.48314,0.94685,0,0.57854,0.69374,0.6563,0.38669,0.57784,0.68772,0.64378,0.4326,1.38132,1.35598,0.99918,1.18543,0,0.000539057,0.000539057,0.000539057
54,900.937,0.76542,1.16627,0.47048,0.95454,0,0.59558,0.67649,0.64945,0.37426,0.58941,0.67065,0.64054,0.41429,1.41704,1.23712,1.22026,1.20794,0,0.000528058,0.000528058,0.000528058
55,917.144,0.75433,1.19594,0.46488,0.94406,0,0.66927,0.65132,0.6462,0.3753,0.66896,0.64704,0.64129,0.43067,1.44301,1.24767,1.05144,1.23196,0,0.000517059,0.000517059,0.000517059
56,935.849,0.75702,1.20216,0.46967,0.95174,0,0.63261,0.68885,0.64555,0.40772,0.62402,0.67602,0.6276,0.40018,1.164,1.36647,0.96126,1.10568,0,0.00050606,0.00050606,0.00050606
57,955.519,0.74109,1.17202,0.45185,0.94475,0,0.61983,0.68583,0.6535,0.41653,0.60617,0.6875,0.62634,0.42241,1.20854,1.37049,0.95744,1.11012,0,0.000495062,0.000495062,0.000495062
