epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,57.7188,0.51092,0.91549,0.85469,0.85923,0,0.78849,0.81555,0.8094,0.71438,0.76592,0.87089,0.82835,0.72762,0.55283,0.85302,1.03317,0.85667,0,0.000915875,0.000915875,0.000915875
29,59.623,0.5191,1.06519,0.85328,0.86242,0,0.77352,0.85382,0.81302,0.71828,0.77352,0.85382,0.82405,0.72715,0.54906,0.88143,1.01942,0.8539,0,0.0009035,0.0009035,0.0009035
30,61.5184,0.49988,0.94961,0.86272,0.85848,0,0.76815,0.86606,0.78411,0.70822,0.76815,0.86606,0.7952,0.69913,0.5213,0.92936,1.02871,0.85126,0,0.000891125,0.000891125,0.000891125
31,63.4945,0.46789,1.0964,0.80733,0.85981,0,0.81745,0.82063,0.7794,0.69786,0.81745,0.82063,0.7841,0.70113,0.4831,0.92867,1.02418,0.84291,0,0.00087875,0.00087875,0.00087875
32,65.4313,0.52457,0.96746,0.86579,0.86891,0,0.77602,0.8494,0.77252,0.67842,0.77602,0.8494,0.77525,0.68966,0.51382,0.89644,1.02762,0.85329,0,0.000866375,0.000866375,0.000866375
33,67.3403,0.52764,0.98096,0.8503,0.88054,0,0.81235,0.8323,0.84655,0.72198,0.81235,0.8323,0.84655,0.73708,0.52388,0.88462,1.01184,0.86081,0,0.000854,0.000854,0.000854
34,69.3589,0.49228,1.03944,0.77003,0.86321,0,0.77855,0.84995,0.86533,0.73041,0.77855,0.84995,0.86548,0.75248,0.54355,0.97105,1.06436,0.87157,0,0.000841625,0.000841625,0.000841625
35,71.4097,0.47615,0.91001,0.81922,0.85828,0,0.79007,0.86829,0.87705,0.76575,0.79007,0.86829,0.87667,0.76599,0.53219,1.11227,1.05644,0.87698,0,0.00082925,0.00082925,0.00082925
36,73.398,0.49773,1.01246,0.79188,0.86416,0,0.81307,0.86931,0.83831,0.72311,0.81307,0.86931,0.84384,0.72341,0.55824,1.30967,0.9067,0.87362,0,0.000816875,0.000816875,0.000816875
37,75.456,0.51365,0.9723,0.83477,0.85905,0,0.81557,0.8628,0.82163,0.71607,0.81557,0.8628,0.8364,0.70802,0.54928,1.229,0.94632,0.87137,0,0.0008045,0.0008045,0.0008045
38,77.3472,0.49912,0.91842,0.84831,0.84973,0,0.78555,0.82001,0.81286,0.70394,0.78555,0.82001,0.82738,0.71485,0.56499,1.21984,1.00759,0.87904,0,0.000792125,0.000792125,0.000792125
39,79.2247,0.48397,0.89275,0.81663,0.86586,0,0.84214,0.77502,0.81193,0.71645,0.84214,0.77502,0.81407,0.71362,0.53761,1.2151,0.97029,0.87572,0,0.00077975,0.00077975,0.00077975
40,81.1314,0.47479,0.95488,0.76635,0.8641,0,0.81704,0.83375,0.82356,0.72844,0.81704,0.83375,0.82518,0.72772,0.51071,1.16719,0.90644,0.87147,0,0.000767375,0.000767375,0.000767375
41,83.0728,0.44755,0.97862,0.75872,0.85585,0,0.81125,0.83292,0.82463,0.73031,0.81125,0.83292,0.82968,0.73486,0.5291,1.18298,0.9348,0.88211,0,0.000755,0.000755,0.000755
42,84.9683,0.46929,1.00263,0.80371,0.85169,0,0.788,0.82953,0.80833,0.71278,0.788,0.82953,0.8159,0.70649,0.55522,1.1767,0.97971,0.89893,0,0.000742625,0.000742625,0.000742625
43,86.8456,0.4859,0.93424,0.77389,0.86408,0,0.78433,0.79417,0.79991,0.7106,0.78433,0.79417,0.81615,0.71664,0.52766,1.1311,0.94966,0.88648,0,0.00073025,0.00073025,0.00073025
44,88.7429,0.44587,0.9656,0.76704,0.86974,0,0.8286,0.77502,0.79992,0.72236,0.7769,0.86931,0.84254,0.72905,0.51039,1.1583,0.89888,0.86718,0,0.000717875,0.000717875,0.000717875
45,90.63,0.45937,0.79911,0.74326,0.83872,0,0.83808,0.79653,0.81748,0.72321,0.83808,0.79653,0.8614,0.73263,0.51817,1.16925,0.89197,0.87203,0,0.0007055,0.0007055,0.0007055
46,92.5261,0.47412,1.03388,0.71259,0.86352,0,0.8402,0.79409,0.84152,0.74947,0.8402,0.79409,0.87822,0.75404,0.52168,1.10351,0.85892,0.87352,0,0.000693125,0.000693125,0.000693125
47,94.4125,0.42842,0.75287,0.71074,0.85071,0,0.79319,0.81803,0.86581,0.77165,0.74341,0.94847,0.8942,0.79171,0.52485,0.99438,0.77783,0.88174,0,0.00068075,0.00068075,0.00068075
48,96.3492,0.4529,0.93187,0.73878,0.84253,0,0.81798,0.81803,0.86739,0.75731,0.81798,0.81803,0.89243,0.78774,0.52265,0.98342,0.79962,0.88063,0,0.000668375,0.000668375,0.000668375
49,98.2588,0.42423,0.94698,0.6864,0.83529,0,0.82217,0.82104,0.85126,0.75623,0.82217,0.82104,0.87198,0.77319,0.4998,0.95382,0.83375,0.86729,0,0.000656,0.000656,0.000656
50,100.225,0.44371,0.87365,0.69424,0.83981,0,0.82512,0.81803,0.83807,0.74585,0.82512,0.81803,0.85863,0.75667,0.49036,0.9796,0.86254,0.87229,0,0.000643625,0.000643625,0.000643625
51,102.208,0.43909,0.85208,0.68688,0.84116,0,0.84687,0.80728,0.82888,0.73032,0.84687,0.80728,0.85156,0.7316,0.50039,1.00811,0.88004,0.87735,0,0.00063125,0.00063125,0.00063125
52,104.258,0.45569,0.84821,0.71191,0.85084,0,0.81035,0.80565,0.80423,0.72683,0.81035,0.80565,0.82165,0.7169,0.49063,0.94679,0.90111,0.87101,0,0.000618875,0.000618875,0.000618875
53,106.227,0.40766,0.89309,0.68327,0.83044,0,0.80229,0.81517,0.79446,0.71081,0.80229,0.81517,0.80993,0.70476,0.47459,0.92339,0.91418,0.86701,0,0.0006065,0.0006065,0.0006065
54,108.172,0.4455,0.91019,0.69462,0.84838,0,0.7919,0.80876,0.80279,0.72099,0.7919,0.80876,0.81878,0.73642,0.4544,0.8861,0.91205,0.85994,0,0.000594125,0.000594125,0.000594125
