epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,269.624,0.93572,1.32782,0.779,0.94639,0,0.85252,0.88323,0.92131,0.84763,0.85252,0.88323,0.92131,0.85578,0.43796,0.39075,0.45811,0.80994,0,0.00081403,0.00081403,0.00081403
29,278.531,0.9381,1.31236,0.77837,0.94041,0,0.77407,0.96401,0.92135,0.86998,0.77407,0.96401,0.92135,0.83949,0.3572,0.37161,0.42316,0.80053,0,0.000803031,0.000803031,0.000803031
30,287.418,0.91145,1.23789,0.75911,0.9368,0,0.84877,0.90512,0.9271,0.8684,0.84877,0.90512,0.9271,0.85671,0.35591,0.36894,0.41867,0.80003,0,0.000792032,0.000792032,0.000792032
31,296.332,0.91829,1.2587,0.74808,0.9381,0,0.74062,0.8272,0.82874,0.76376,0.74062,0.8272,0.82874,0.7402,0.39684,0.35556,0.47087,0.80254,0,0.000781033,0.000781033,0.000781033
32,305.382,0.92489,1.31036,0.76438,0.93744,0,0.67173,0.75794,0.79183,0.75633,0.67173,0.75794,0.79183,0.71097,0.34428,0.34018,0.43331,0.80113,0,0.000770034,0.000770034,0.000770034
33,314.311,0.86008,1.17095,0.71616,0.92022,0,0.78333,0.85373,0.88396,0.83218,0.78333,0.85373,0.88396,0.79081,0.40444,0.36057,0.46846,0.80609,0,0.000759035,0.000759035,0.000759035
34,323.237,0.89167,1.28087,0.72505,0.93126,0,0.79055,0.81159,0.87189,0.81588,0.79055,0.81159,0.87189,0.78172,0.35167,0.34376,0.43357,0.79772,0,0.000748036,0.000748036,0.000748036
35,332.184,0.84965,1.21941,0.69189,0.91532,0,0.82677,0.91343,0.91231,0.85698,0.82677,0.91343,0.91231,0.81665,0.36122,0.37825,0.40547,0.79772,0,0.000737037,0.000737037,0.000737037
36,341.066,0.88506,1.26716,0.71127,0.93077,0,0.79807,0.94114,0.91498,0.8558,0.79807,0.94114,0.91498,0.83725,0.36727,0.34484,0.4038,0.79994,0,0.000726038,0.000726038,0.000726038
37,350.043,0.90515,1.27418,0.7119,0.9314,0,0.80037,0.89665,0.85839,0.81,0.80037,0.89665,0.85839,0.77453,0.36055,0.38069,0.43113,0.79885,0,0.00071504,0.00071504,0.00071504
38,358.978,0.8686,1.25105,0.68566,0.91796,0,0.7955,0.91867,0.90281,0.85961,0.7955,0.91867,0.90281,0.82726,0.34987,0.34491,0.39823,0.79867,0,0.000704041,0.000704041,0.000704041
39,367.879,0.83991,1.20801,0.6629,0.91742,0,0.83213,0.86432,0.89195,0.84376,0.83213,0.86432,0.89195,0.79756,0.33916,0.37508,0.39532,0.79391,0,0.000693042,0.000693042,0.000693042
40,376.844,0.8472,1.16158,0.66943,0.91207,0,0.8275,0.92876,0.92855,0.88493,0.8275,0.92876,0.92855,0.83148,0.33073,0.35121,0.39857,0.79428,0,0.000682043,0.000682043,0.000682043
41,385.78,0.84722,1.21758,0.66309,0.91751,0,0.79769,0.97485,0.89677,0.8533,0.79769,0.97485,0.89677,0.79996,0.33032,0.3469,0.39266,0.79422,0,0.000671044,0.000671044,0.000671044
42,394.751,0.85109,1.22444,0.66068,0.91219,0,0.81273,0.97784,0.93521,0.90674,0.81273,0.97784,0.93521,0.82416,0.34378,0.35061,0.38196,0.79599,0,0.000660045,0.000660045,0.000660045
43,403.697,0.86264,1.16523,0.66514,0.92937,0,0.85439,0.88349,0.92276,0.88623,0.85439,0.88349,0.92276,0.82517,0.33857,0.33655,0.39091,0.79822,0,0.000649046,0.000649046,0.000649046
44,412.655,0.84295,1.18797,0.656,0.91627,0,0.87649,0.91966,0.94162,0.91482,0.87649,0.91966,0.94162,0.84721,0.35523,0.34116,0.38679,0.79881,0,0.000638047,0.000638047,0.000638047
45,421.611,0.84162,1.20254,0.66,0.92169,0,0.79925,0.93339,0.92397,0.88685,0.79925,0.93339,0.92397,0.82772,0.34963,0.34705,0.3848,0.7993,0,0.000627048,0.000627048,0.000627048
46,430.578,0.83616,1.221,0.6636,0.92364,0,0.89175,0.87345,0.95204,0.8974,0.89175,0.87345,0.95204,0.86142,0.34688,0.37331,0.38286,0.79504,0,0.000616049,0.000616049,0.000616049
47,439.547,0.8456,1.13504,0.66195,0.92064,0,0.91429,0.93205,0.94496,0.9039,0.91429,0.93205,0.94496,0.85637,0.35559,0.33485,0.37936,0.79863,0,0.000605051,0.000605051,0.000605051
48,448.529,0.84061,1.27101,0.65497,0.91543,0,0.83971,0.9124,0.92291,0.87928,0.83971,0.9124,0.92291,0.82667,0.34307,0.38089,0.37677,0.79983,0,0.000594052,0.000594052,0.000594052
