epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,96.8872,0.39525,0.72518,0.70367,0.80121,0,0.78401,0.87468,0.85607,0.72524,0.80384,0.87869,0.86401,0.74039,0.60169,0.91582,0.98485,0.94648,0,0.00077725,0.00077725,0.00077725
29,100.362,0.39758,0.80018,0.69505,0.80488,0,0.79786,0.76497,0.82745,0.71736,0.77635,0.82711,0.81783,0.68197,0.61626,1.17531,1.06935,0.98289,0,0.000769,0.000769,0.000769
30,103.853,0.40236,0.76539,0.71283,0.80197,0,0.76605,0.86724,0.86888,0.75142,0.78114,0.8818,0.86681,0.73696,0.58833,0.8418,0.95207,0.96636,0,0.00076075,0.00076075,0.00076075
31,107.376,0.37815,0.71688,0.68369,0.80411,0,0.77265,0.86765,0.87805,0.7528,0.77265,0.86765,0.87897,0.75313,0.57073,0.84125,0.93139,0.95236,0,0.0007525,0.0007525,0.0007525
32,110.739,0.37946,0.70334,0.66763,0.80652,0,0.76675,0.88887,0.88464,0.75698,0.76675,0.88887,0.89122,0.76118,0.56028,0.86223,0.92787,0.94574,0,0.00074425,0.00074425,0.00074425
33,114.144,0.37506,0.68429,0.6725,0.7926,0,0.78229,0.88616,0.87952,0.74832,0.78229,0.88616,0.88807,0.75564,0.54777,0.8564,0.9393,0.93587,0,0.000736,0.000736,0.000736
34,117.551,0.36864,0.61966,0.64691,0.79798,0,0.88368,0.77548,0.87766,0.76008,0.84893,0.82623,0.89024,0.76399,0.51878,0.80816,0.97529,0.90095,0,0.00072775,0.00072775,0.00072775
35,120.977,0.38585,0.72298,0.65453,0.7969,0,0.85861,0.812,0.87943,0.77263,0.85781,0.83006,0.89301,0.76742,0.53223,0.81302,0.94594,0.92237,0,0.0007195,0.0007195,0.0007195
36,124.426,0.37326,0.78257,0.63479,0.80654,0,0.8653,0.78587,0.88533,0.76834,0.77123,0.91248,0.90208,0.77235,0.52695,0.8583,0.86749,0.93695,0,0.00071125,0.00071125,0.00071125
37,128.095,0.35483,0.66591,0.63221,0.80104,0,0.91066,0.81238,0.89919,0.7835,0.92418,0.8379,0.91832,0.77835,0.53254,0.91093,0.82269,0.93124,0,0.000703,0.000703,0.000703
38,131.54,0.35002,0.65981,0.65034,0.79222,0,0.8872,0.825,0.89794,0.7811,0.90664,0.84157,0.91665,0.77083,0.53242,0.90259,0.81892,0.93683,0,0.00069475,0.00069475,0.00069475
39,134.909,0.35428,0.72301,0.62501,0.79317,0,0.90603,0.79059,0.88547,0.7703,0.85048,0.8451,0.89463,0.76074,0.5312,0.90418,0.85303,0.94062,0,0.0006865,0.0006865,0.0006865
40,138.447,0.35665,0.64142,0.59339,0.79828,0,0.86096,0.82963,0.87781,0.75904,0.86382,0.84781,0.8895,0.74992,0.53428,0.88483,0.86094,0.94667,0,0.00067825,0.00067825,0.00067825
41,141.924,0.35508,0.65087,0.57886,0.80126,0,0.79532,0.86765,0.88137,0.76889,0.81145,0.88431,0.89538,0.7662,0.54208,0.84342,0.87417,0.94909,0,0.00067,0.00067,0.00067
42,145.356,0.35249,0.63495,0.57636,0.79054,0,0.80816,0.86375,0.88114,0.76514,0.82433,0.88042,0.90052,0.77474,0.54406,0.79551,0.84209,0.94616,0,0.00066175,0.00066175,0.00066175
43,148.728,0.34751,0.61959,0.54997,0.79557,0,0.84346,0.81143,0.87114,0.75344,0.85858,0.82821,0.89142,0.76312,0.53697,0.77197,0.87754,0.93768,0,0.0006535,0.0006535,0.0006535
44,152.075,0.34814,0.65498,0.56414,0.78661,0,0.86544,0.80818,0.88135,0.76212,0.80646,0.86708,0.89488,0.76221,0.53342,0.80653,0.82368,0.9403,0,0.00064525,0.00064525,0.00064525
45,155.441,0.35498,0.61939,0.55664,0.78207,0,0.85873,0.85055,0.88396,0.77799,0.85873,0.85055,0.89939,0.76138,0.52682,0.90488,0.7791,0.93581,0,0.000637,0.000637,0.000637
