epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,843.195,0.26507,0.1747,0.1934,0.85466,0,0.9982,0.98571,0.99229,0.98792,1,0.99907,0.995,0.98846,0.17185,0.06512,0.13482,0.89881,0,0.0008086,0.0008086,0.0008086
31,871.657,0.26363,0.17054,0.19901,0.85704,0,0.99602,0.98571,0.99119,0.98872,0.99602,0.98571,0.99119,0.98757,0.13059,0.0847,0.17571,0.87503,0,0.000802,0.000802,0.000802
32,900.19,0.26029,0.17299,0.19404,0.85586,0,0.9991,1,0.995,0.98785,0.9991,1,0.995,0.98927,0.13033,0.06746,0.11586,0.87938,0,0.0007954,0.0007954,0.0007954
33,928.77,0.26032,0.17003,0.19251,0.85407,0,0.99926,1,0.995,0.994,0.99926,1,0.995,0.99373,0.13434,0.10484,0.11284,0.87486,0,0.0007888,0.0007888,0.0007888
34,957.233,0.26042,0.17098,0.19304,0.85725,0,0.99913,1,0.995,0.98973,0.99913,1,0.995,0.9907,0.1368,0.07405,0.13578,0.87821,0,0.0007822,0.0007822,0.0007822
35,985.818,0.25717,0.16553,0.18876,0.85278,0,1,0.9991,0.995,0.98945,1,0.9991,0.995,0.989,0.12877,0.07315,0.14101,0.86893,0,0.0007756,0.0007756,0.0007756
36,1014.39,0.26132,0.17192,0.18639,0.85692,0,0.99809,1,0.995,0.99386,0.99809,1,0.995,0.995,0.12644,0.06253,0.1185,0.87019,0,0.000769,0.000769,0.000769
37,1042.91,0.26358,0.17381,0.19117,0.85365,0,0.99923,1,0.995,0.99273,0.99923,1,0.995,0.995,0.12269,0.05429,0.11987,0.86953,0,0.0007624,0.0007624,0.0007624
38,1071.99,0.25231,0.17315,0.18202,0.85006,0,0.98453,0.98571,0.99087,0.98992,0.98453,0.98571,0.99087,0.98992,0.11683,0.06539,0.15056,0.8689,0,0.0007558,0.0007558,0.0007558
39,1100.55,0.25486,0.16989,0.18461,0.8503,0,0.99587,1,0.995,0.99079,0.99587,1,0.995,0.99044,0.12494,0.06244,0.21465,0.87773,0,0.0007492,0.0007492,0.0007492
